,E1,E2,C1,C2,A1,A2,A3,OR
111305,83.8407,80.7963,82.2014,81.0304,85.7143,85.7143,85.9485,79.3911
111306,84.7775,81.9672,82.904,81.0304,87.822,87.822,88.0562,79.3911
111307,85.2459,81.4988,83.1382,81.0304,87.822,87.822,87.822,79.3911
111308,84.3091,80.5621,82.6698,81.0304,85.9485,85.9485,85.7143,79.3911
111309,85.0117,81.4988,83.3724,81.0304,87.5878,87.5878,87.5878,79.3911
111312,85.0117,81.9672,83.6066,81.0304,88.0562,88.0562,88.2904,79.3911
121301,84.7775,85.4801,87.1194,84.7775,87.3536,87.3536,87.822,83.8407
121302,86.4169,85.4801,88.993,84.7775,88.993,88.993,89.2272,83.8407
121303,83.8407,86.6511,87.822,84.7775,87.5878,87.5878,87.5878,83.8407
121305,84.3091,86.1827,87.1194,84.7775,87.5878,87.5878,87.5878,83.8407
121306,85.2459,86.1827,88.0562,84.7775,88.5246,88.5246,88.7588,83.8407
121307,86.1827,87.1194,89.4614,84.7775,90.3981,90.3981,90.6323,83.8407
121308,85.0117,86.1827,87.822,84.7775,88.2904,88.2904,88.7588,83.8407
121309,85.9485,86.8852,88.993,84.7775,89.9297,89.9297,89.6956,83.8407
121311,84.5433,86.4169,88.0562,84.7775,88.0562,88.0562,88.2904,83.8407
