,E1,E2,C1,C2,A1,A2,A3,OR
011302,163,264,427,427,427,427,427,264
011303,163,264,427,427,427,427,427,264
011305,163,264,427,427,427,427,427,264
011306,163,264,427,427,427,427,427,264
011307,163,264,427,427,427,427,427,264
011308,163,264,427,427,427,427,427,264
011309,163,264,427,427,427,427,427,264
011311,163,264,427,427,427,427,427,264
011312,163,264,427,427,427,427,427,264
021301,189,238,427,427,427,427,427,238
021303,189,238,427,427,427,427,427,238
021305,189,238,427,427,427,427,427,238
021306,189,238,427,427,427,427,427,238
021307,189,238,427,427,427,427,427,238
021308,189,238,427,427,427,427,427,238
021309,189,238,427,427,427,427,427,238
021311,189,238,427,427,427,427,427,238
021312,189,238,427,427,427,427,427,238
031301,180,247,427,427,427,427,427,247
031302,180,247,427,427,427,427,427,247
031305,180,247,427,427,427,427,427,247
031306,180,247,427,427,427,427,427,247
031307,180,247,427,427,427,427,427,247
031308,180,247,427,427,427,427,427,247
031309,180,247,427,427,427,427,427,247
031311,180,247,427,427,427,427,427,247
031312,180,247,427,427,427,427,427,247
051301,176,251,427,427,427,427,427,251
051302,176,251,427,427,427,427,427,251
051303,176,251,427,427,427,427,427,251
051306,176,251,427,427,427,427,427,251
051307,176,251,427,427,427,427,427,251
051308,176,251,427,427,427,427,427,251
051309,176,251,427,427,427,427,427,251
051311,176,251,427,427,427,427,427,251
051312,176,251,427,427,427,427,427,251
061301,212,215,427,427,427,427,427,215
061302,212,215,427,427,427,427,427,215
061303,212,215,427,427,427,427,427,215
061305,212,215,427,427,427,427,427,215
061307,212,215,427,427,427,427,427,215
061308,212,215,427,427,427,427,427,215
061309,212,215,427,427,427,427,427,215
061311,212,215,427,427,427,427,427,215
061312,212,215,427,427,427,427,427,215
071301,193,234,427,427,427,427,427,234
071302,193,234,427,427,427,427,427,234
071303,193,234,427,427,427,427,427,234
071305,193,234,427,427,427,427,427,234
071306,193,234,427,427,427,427,427,234
071308,193,234,427,427,427,427,427,234
071309,193,234,427,427,427,427,427,234
071311,193,234,427,427,427,427,427,234
071312,193,234,427,427,427,427,427,234
081301,195,232,427,427,427,427,427,232
081302,195,232,427,427,427,427,427,232
081303,195,232,427,427,427,427,427,232
081305,195,232,427,427,427,427,427,232
081306,195,232,427,427,427,427,427,232
081307,195,232,427,427,427,427,427,232
081309,195,232,427,427,427,427,427,232
081311,195,232,427,427,427,427,427,232
081312,195,232,427,427,427,427,427,232
091301,190,237,427,427,427,427,427,237
091302,190,237,427,427,427,427,427,237
091303,190,237,427,427,427,427,427,237
091305,190,237,427,427,427,427,427,237
091306,190,237,427,427,427,427,427,237
091307,190,237,427,427,427,427,427,237
091308,190,237,427,427,427,427,427,237
091311,190,237,427,427,427,427,427,237
091312,190,237,427,427,427,427,427,237
111301,199,228,427,427,427,427,427,228
111302,199,228,427,427,427,427,427,228
111303,199,228,427,427,427,427,427,228
111305,199,228,427,427,427,427,427,228
111306,199,228,427,427,427,427,427,228
111307,199,228,427,427,427,427,427,228
111308,199,228,427,427,427,427,427,228
111309,199,228,427,427,427,427,427,228
111312,199,228,427,427,427,427,427,228
121301,178,249,427,427,427,427,427,249
121302,178,249,427,427,427,427,427,249
121303,178,249,427,427,427,427,427,249
121305,178,249,427,427,427,427,427,249
121306,178,249,427,427,427,427,427,249
121307,178,249,427,427,427,427,427,249
121308,178,249,427,427,427,427,427,249
121309,178,249,427,427,427,427,427,249
121311,178,249,427,427,427,427,427,249
