,E1,E2,C1,C2,A1,A2,A3,OR
111305,74.8691,84.2932,76.9634,76.9634,80.6283,80.6283,80.6283,95.8115
111306,76.9634,86.911,79.0576,76.9634,85.3403,85.3403,85.3403,95.8115
111307,78.0105,84.8168,79.0576,76.9634,84.2932,84.2932,84.2932,95.8115
111308,78.0105,82.199,78.0105,76.9634,81.6754,81.6754,81.1518,95.8115
111309,76.9634,85.3403,78.534,76.9634,83.7696,83.7696,83.2461,95.8115
111312,78.0105,85.3403,78.534,76.9634,84.8168,84.8168,84.8168,95.8115
121301,73.822,83.2461,76.4398,76.9634,79.5812,79.5812,80.6283,96.8586
121302,75.9162,84.8168,80.6283,76.9634,83.2461,83.2461,83.7696,96.8586
121303,73.822,86.911,80.1047,76.9634,83.2461,83.2461,83.2461,96.8586
121305,73.2984,86.3874,79.0576,76.9634,82.199,82.199,82.199,96.8586
121306,75.9162,87.4346,82.199,76.9634,85.8639,85.8639,86.3874,96.8586
121307,76.4398,87.9581,82.199,76.9634,86.911,86.911,86.911,96.8586
121308,76.9634,85.3403,80.6283,76.9634,84.8168,84.8168,85.3403,96.8586
121309,75.3927,87.9581,81.1518,76.9634,85.8639,85.8639,85.3403,96.8586
121311,75.9162,86.3874,80.1047,76.9634,84.8168,84.8168,84.8168,96.8586
